"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturns","nNET PROFIT","Accrual"
"Crompton Greaves Ltd.",1702.1,884.1,0,26152.5,16686.4,2,1928.8,-323.1,700.8,0,28000.1,19629.2,129.3,1435.8,84.2,194.45,1265.1,1.309382423,0,-136.500000000001
"J S W Energy Ltd.",-2197.3,3772.2,0,21597.3,26778.4,0,589.8,-493,4249.4,0,21454.8,23838.6,1200,2488.6,41.7,75.3,8441.2,0.8057553957,0,-57.5999999999958
"Zee Entertainment Enterprises Ltd.",-769,215,0,17798,3412,0,2386,1642,288,0,20392,3898,0,3044,247.1,290.7,643,0.1764467827,0,67
"Kaveri Seed Co. Ltd.",50.7,100.1,0,3477.6,3162,190,29.5,37.5,106,0,5764.6,5031.1,0,35.8,297.73,727.9,353.4,1.444832566,0,141.400000000001
"Titan Company Ltd.",-1385.1,449,0,40368.2,29381.1,0,2389,1796.4,544.9,0,49912.4,35485.8,0,2853.5,263.4,341.05,1267.4,0.2947987851,0,177.599999999999
"Bata India Ltd.",68.7,411,0,5497.5,2782.5,0,966.8,101.5,513.7,0,7009.7,3506,0,908.4,481.45,623.55,1211.2,0.2951500675,0,183.8
"Glenmark Pharmaceuticals Ltd.",164.6,211.1,0,6013.1,4000.6,2220.9,554,1260,250.4,0,9397.7,6820.5,3088.5,657,576.6,659.3,690.3,0.1434269858,0,189.500000000001
"Jain Irrigation Systems Ltd.",-1004.5,1018.3,0,34222.2,13481.5,11247.8,552.3,-1123.2,1206.6,0,32860.4,13280.6,14211.9,127.7,50.35,102.4,2703.9,1.033763654,0,290.700000000004
"Tata Power Co. Ltd.",-1739.9,5703.5,0,49071.6,24583.3,102.7,3705.1,-2598.5,5839,0,55575.6,25726.4,344.2,3374.3,84.97,97.75,11969.2,0.1504060257,0,291.199999999998
"Hexaware Technologies Ltd.",-283.4,189,0,5736,2737.5,0,494,-2262.8,269.5,0,3892.4,2309.7,0,554,116.35,142.15,893.1,0.2217447357,0,354.1
