"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturn","nNET PROFIT","Accrual"
"I F C I Ltd.",2070.1,103.3,0,8082.6,10408.8,0.1,1031.2,-697.9,130.4,0,7916.2,9600,0,1076,38.2,24.9,3324.7,-0.3481675393,0,3324.7
"Reliance Power Ltd.",3516.2,31.4,0,8020.1,408.9,0,0,-152.4,160.1,0,8662.7,1418.3,600,46.6,92.5,42.65,3788.3,-0.5389189189,0,3788.3
"Zee Entertainment Enterprises Ltd.",1642,288,0,20392,3898,0,3044,-750,338,0,22256,3930,0,4074,290.7,398.8,4916,0.3718610251,0,4916
"Yes Bank Ltd.",4802.2,517.1,0,87195.5,51454.2,30832.5,6677.6,18259,631.7,0,118454.5,59724.3,26610,7784.1,541.1,828.95,5784.4,0.5319719091,0,5784.4
"G M R Infrastructure Ltd.",-21.3,83.1,44.3,13370.1,6586,3512,455.4,-1995.8,84.2,201.8,19489.4,6343.3,1366.4,511.8,26.24,14,5961.3,-0.4664634146,0,5961.3
"Glenmark Pharmaceuticals Ltd.",1260,250.4,0,9397.7,6820.5,3088.5,657,-538.8,302,0,14785,8382,3533.2,1080.2,659.3,1011.9,6190.5,0.5348096466,0,6190.5
"P T C India Ltd.",3075.9,42.1,0,25148.7,11381,0,602.3,-1539,42,0,26392.9,11343.4,0,1150.6,83.9,69.05,6403,-0.1769964243,0,6403
"Lupin Ltd.",12.8,1221.5,0,36414.2,9863.6,5260.9,4181.6,2371.5,1329.9,0,48006.9,11148,1151.6,8117,1181.75,1696.7,6445.8,0.4357520626,0,6445.80000000001
"Dr. Reddy'S Laboratories Ltd.",-783,2690,0,55801,15608,42,4140,529,3805,0,70345,18747,0,4901,2808.7,4076.1,7007,0.4512407876,0,7007
"Unitech Ltd.",-39.4,37.3,0,148003.2,102788.7,3073.9,980.3,83.5,65.6,0,172504,120249.6,3918.2,520.3,25.45,7.6,7235.7,-0.7013752456,0,7235.69999999998
"Allahabad Bank",0,688.3,2042.8,143112.6,41568.9,0,4004,0,779.5,2109.7,164795.2,52861.1,0,4169.5,121.45,91.95,7666.7,-0.2428983121,0,7666.7
"Adani Ports & Special Economic Zone Ltd.",3408.7,3423.8,0,32115,23172.9,1450.9,3773.6,-4621.4,4557.1,0,26737.1,14050,1805.5,4636.3,260.55,325,8435.3,0.247361351,0,8435.3
"Uco Bank",-13046.5,871.5,1600.7,152680.2,51324,1.9,3792.2,25897.2,1096.3,1600.7,189335.1,56691,19984.9,3786.7,99.4,52.7,9624.7,-0.4698189135,0,9624.69999999999
"Bharat Petroleum Corpn. Ltd.",13500.4,19360.9,0,328360.8,220894.4,7304.7,11732.9,-21255.2,22504.2,0,350837.8,266488.2,17239.1,22750,580.15,926.75,10086.1,0.5974316987,0,10086.1
"Wipro Ltd.",15405,7013,0,213214,66910,39870,17036,28038,7367,0,255228,77516,35042,22805,544.4,569.85,12349,0.04674871418,0,12349
"Oracle Financial Services Software Ltd.",-640.1,586.1,0,64666.1,8996.9,0,5077.6,-33.7,643.5,0,80449,11606.7,0,5949.8,3314.6,4046.5,12795.4,0.2208109576,0,12795.4
"Aurobindo Pharma Ltd.",1005.6,1624.6,0,35251.2,9622.8,13486.4,1265,-1048.5,1764.1,0,49375.1,13182.5,13689,3346.2,356.1,759.9,13138,1.133951137,0,13138
"I T C Ltd.",-1034.4,7955.6,0,120486.6,51894.4,0,29890.6,-348.4,8999.2,0,138696.5,56091.6,1.4,39366.4,356.05,326,13804.7,-0.08439825867,0,13804.7
"United Spirits Ltd.",-1142.9,718.3,0,32878.3,21670.4,23572.4,1671,3217.3,855,0,40636.2,19125.4,32985.7,1350.2,2355.9,3705.65,14180.2,0.572923299,0,14180.2
"G A I L (India) Ltd.",14266.1,9831.9,0,93428.7,72979.7,0,15374.4,2930.4,11752.4,0,115004.9,80515.5,0,18077.4,435.95,354.95,16326.7,-0.185801124,0,16326.7
